0.000000	0.000000	0.000000
0.100000	0.000000	0.000000
0.200000	0.000000	0.000000
0.300000	0.000000	0.000000
0.400000	0.000000	0.000000
0.500000	0.000000	0.000000
0.600000	0.000000	0.000000
0.700000	0.000000	0.000000
0.800000	0.000000	0.000000
0.900000	0.000000	0.000000
1.000000	0.000000	0.000000
0.000000	0.100000	1.000000
0.100000	0.100000	0.511069
0.200000	0.100000	0.325201
0.300000	0.100000	0.245630
0.400000	0.100000	0.211049
0.500000	0.100000	0.201172
0.600000	0.100000	0.211052
0.700000	0.100000	0.245635
0.800000	0.100000	0.325207
0.900000	0.100000	0.511074
1.000000	0.100000	1.000000
0.000000	0.200000	1.000000
0.100000	0.200000	0.719082
0.200000	0.200000	0.544110
0.300000	0.200000	0.446275
0.400000	0.200000	0.397400
0.500000	0.200000	0.382591
0.600000	0.200000	0.397405
0.700000	0.200000	0.446284
0.800000	0.200000	0.544120
0.900000	0.200000	0.719089
1.000000	0.200000	1.000000
0.000000	0.300000	1.000000
0.100000	0.300000	0.821153
0.200000	0.300000	0.685890
0.300000	0.300000	0.597967
0.400000	0.300000	0.549688
0.500000	0.300000	0.534391
0.600000	0.300000	0.549693
0.700000	0.300000	0.597977
0.800000	0.300000	0.685901
0.900000	0.300000	0.821161
1.000000	0.300000	1.000000
0.000000	0.400000	1.000000
0.100000	0.400000	0.879647
0.200000	0.400000	0.780335
0.300000	0.400000	0.710022
0.400000	0.400000	0.668997
0.500000	0.400000	0.655595
0.600000	0.400000	0.669003
0.700000	0.400000	0.710031
0.800000	0.400000	0.780345
0.900000	0.400000	0.879655
1.000000	0.400000	1.000000
0.000000	0.500000	1.000000
0.100000	0.500000	0.917106
0.200000	0.500000	0.845784
0.300000	0.500000	0.792791
0.400000	0.500000	0.760688
0.500000	0.500000	0.749989
0.600000	0.500000	0.760693
0.700000	0.500000	0.792798
0.800000	0.500000	0.845793
0.900000	0.500000	0.917112
1.000000	0.500000	1.000000
0.000000	0.600000	1.000000
0.100000	0.600000	0.942995
0.200000	0.600000	0.892910
0.300000	0.600000	0.854671
0.400000	0.600000	0.830978
0.500000	0.600000	0.822983
0.600000	0.600000	0.830981
0.700000	0.600000	0.854677
0.800000	0.600000	0.892916
0.900000	0.600000	0.943000
1.000000	0.600000	1.000000
0.000000	0.700000	1.000000
0.100000	0.700000	0.961969
0.200000	0.700000	0.928190
0.300000	0.700000	0.902009
0.400000	0.700000	0.885571
0.500000	0.700000	0.879982
0.600000	0.700000	0.885573
0.700000	0.700000	0.902013
0.800000	0.700000	0.928194
0.900000	0.700000	0.961972
1.000000	0.700000	1.000000
0.000000	0.800000	1.000000
0.100000	0.800000	0.976691
0.200000	0.800000	0.955873
0.300000	0.800000	0.939605
0.400000	0.800000	0.929315
0.500000	0.800000	0.925801
0.600000	0.800000	0.929316
0.700000	0.800000	0.939607
0.800000	0.800000	0.955875
0.900000	0.800000	0.976693
1.000000	0.800000	1.000000
0.000000	0.900000	1.000000
0.100000	0.900000	0.988924
0.200000	0.900000	0.979005
0.300000	0.900000	0.971223
0.400000	0.900000	0.966283
0.500000	0.900000	0.964592
0.600000	0.900000	0.966283
0.700000	0.900000	0.971224
0.800000	0.900000	0.979006
0.900000	0.900000	0.988925
1.000000	0.900000	1.000000
0.000000	1.000000	1.000000
0.100000	1.000000	1.000000
0.200000	1.000000	1.000000
0.300000	1.000000	1.000000
0.400000	1.000000	1.000000
0.500000	1.000000	1.000000
0.600000	1.000000	1.000000
0.700000	1.000000	1.000000
0.800000	1.000000	1.000000
0.900000	1.000000	1.000000
1.000000	1.000000	1.000000
